sha256,first_seen,day,file_type,file_size,mb_signature,mb_tags,mdc_verdict,mdc_threat_level,caught,chain_depth,multiscan_overall,multiscan_detected,multiscan_total,signal_groups,yara_matches,mdc_tags,ioc_count,error
cd88d0e55a7269b235c9fe4c6bf70650ded91419ba496c6a1aa53180da3fc994,2026-08-21 08:23:04,2026-08-21,elf,220,,elf,UNKNOWN,0,no,1,,,,0,,,1,
b0807755b7d9de2f4412d21720b7735a175c7d3fd965fc0258056eb20e748697,2026-08-21 10:15:16,2026-08-21,rar,29283,PureLogsStealer,PureLogsStealer;rar,MALICIOUS,1,yes,2,,,,11,suspicious_obfuscation_using_String_replace;suspicious_obfuscation_using_substring,encrypted;evasive;obfuscated;repaired,15,
6ff8480cde0b319de96e500d451ae2b892acf35d7635d560d4afacbee4960a58,2026-08-21 08:39:17,2026-08-21,js,66780,AveMariaRAT,AveMariaRAT;js,,,no,0,,,,,,,,sandbox run timed out
45a592bcf135e313584bb6cbc3c8335d2df35edc834e6819a9eae95cda82b527,2026-08-20 14:36:43,2026-08-20,js,2750,ConnectWise,ConnectWise;js,MALICIOUS,1,yes,1,,,,10,,evasive;obfuscated;repaired,4,
399ec5b106727e0e83eb280423a2ecb252acebcf2bee4bbb2a5658570c965e78,2026-08-20 15:44:11,2026-08-20,exe,27136,AsyncRAT,AsyncRAT;exe;RAT,LIKELY_MALICIOUS,0.75,yes,1,,,,21,INDICATOR_SUSPICIOUS_EXE_ASEP_REG_Reverse;NETexecutableMicrosoft;DebuggerCheck__RemoteAPI,anti-vm;base64;fingerprint;lolbin;obfuscated;reconnaissance;reg;schtasks;vbnet,4,
066ecd627caec87426bd94db4f0c1ec45b8345e26b0cace2e8193a91155ce5ee,2026-08-20 18:44:56,2026-08-20,zip,8586695,OnyxC2,akmuniverstall-top;getintoway-com;OnyxC2;zip,LIKELY_MALICIOUS,0.75,yes,2,,,,29,EthereumAddress;ThreadControl__Context;SEH__vectored;DebuggerCheck__MemoryWorkingSet;MD5;SHA1;RC56,anti-debug;crypto;microsoft_visual_cc;overlay;packed;reconnaissance,5,
7de8b252898d22bde75ef132e2c46d1c96d53ea534755e8cda17618e3006b4b0,2026-08-19 18:03:19,2026-08-19,xlsx,946108,AgentTesla,AgentTesla;CVE-2017-11882;xlam;xlsx,MALICIOUS,1,yes,1,,,,13,suspicious_obfuscation_using_String_replace,base64;embedequation;exploit;obfuscated,201,
2dae1df14d0cc6ea8e670e0b327101d0fe5c475dc06a376e99a6df426bddf418,2026-08-19 18:04:13,2026-08-19,xls,1217024,RemcosRAT,cve-2017-0199;RemcosRAT;xls,UNKNOWN,0,no,1,,,,3,office_document_vba,evasive;macros,14,
b8dd2c924604e8d4cac9a235cee2bf49a375727438f705a0028d0c89b7f9f1b7,2026-08-19 06:03:29,2026-08-19,lnk,2003,Phorpiex,lnk;Phorpiex,,,no,0,,,,,,,,sandbox run timed out
bd8766e6ddd2f0f9ce482b0c2d2bfff7868840244a12908eaa807678d9a033b5,2026-08-18 19:07:09,2026-08-18,rar,11535,XWorm,rar;xworm,,,no,0,,,,,,,,sandbox run timed out
